"","X","Year","meanPctAgreeUS","meanPctAgreeRUSSIA","meanIdealpoint","medianPctAgreeUS","medianPctAgreeRUSSIA","medianIdealpoint","formerSovMedianIdealPt","nonFormerSovMedianIdealPt"
"44",44,1990,0.178606872077922,0.848954835714286,-0.223919503025974,0.1547619,0.9277108,-0.50088715,-0.5266105,-0.4982641
"45",45,1991,0.208185036845238,0.588109542073171,-0.16713905110119,0.1527778,0.58271145,-0.41638975,0.3137407,-0.45519715
"46",46,1992,0.205640229537572,0.554494817919075,-0.127580626609195,0.1764706,0.5142857,-0.40327,0.4070267,-0.4332419
"47",47,1993,0.238722785730337,0.517256873595506,-0.0921488789831461,0.1949885,0.46875,-0.3076166,0.3907874,-0.37933215
"48",48,1994,0.317599085632184,0.547259067241379,-0.0979690175574713,0.2974019,0.530303,-0.31117135,0.5009522,-0.3541283
"49",49,1995,0.297017487150838,0.587133848044693,-0.0575306163631285,0.2641509,0.5625,-0.235204,0.5675883,-0.3067911
"50",50,1996,0.322466583055556,0.616392912777778,-0.0446540341055556,0.2949461,0.61807835,-0.2119441,0.681559,-0.3164137
"51",51,1997,0.288992717159091,0.653657671590909,-0.0546416303409091,0.2538498,0.65421195,-0.2817296,0.5243852,-0.3662248
"52",52,1998,0.263559199039548,0.649931951412429,-0.0629554464576271,0.2181818,0.65,-0.2946732,0.4821768,-0.3784442
"53",53,1999,0.262011323275862,0.665417660344828,-0.0781596015574713,0.2121212,0.6666667,-0.3466101,0.4012139,-0.40367925
"54",54,2000,0.275510572252747,0.6975194,-0.0790074177802198,0.238806,0.7121212,-0.35143025,0.3582514,-0.3908432
"55",55,2001,0.229670840782123,0.694038746368715,-0.0741611868882682,0.1578947,0.7230769,-0.335182,0.31111295,-0.3765804
"56",56,2002,0.190107455882353,0.701412740641711,-0.0756160574759358,0.1449275,0.7121212,-0.3275059,0.1951978,-0.39296835
"57",57,2003,0.20963950968254,0.721712434920635,-0.0847209361322751,0.1466667,0.7333333,-0.3508242,0.2403181,-0.4193438
"58",58,2004,0.182984150575916,0.709623791623037,-0.0927158635811518,0.1060606,0.7428571,-0.3099342,0.1484154,-0.444257
"59",59,2005,0.176918158429319,0.693358104712042,-0.099205316513089,0.1111111,0.7058824,-0.3255581,0.07488057,-0.4214535
"60",60,2006,0.153816992760417,0.709811600104167,-0.092199095296875,0.1012658,0.7471264,-0.34692535,-0.07092694,-0.4105319
"61",61,2007,0.147581018802083,0.685779977083333,-0.118032446041667,0.07792208,0.7045037,-0.4121606,-0.01336711,-0.4288916
"62",62,2008,0.15264573390625,0.666452571510417,-0.136901561895833,0.098315385,0.69292805,-0.42569895,-0.08409911,-0.4602473
"63",63,2009,0.213837754895833,0.649267658333333,-0.139840935317708,0.1230769,0.6818182,-0.4346236,-0.05882031,-0.4581867
"64",64,2010,0.229308870729167,0.691766370833333,-0.151259538598958,0.15707235,0.71320345,-0.4179441,-0.03295925,-0.477443
"65",65,2011,0.290271667202073,0.66043938253886,-0.149750528134715,0.2166667,0.6923077,-0.4178405,-0.1125928,-0.4441136
"66",66,2012,0.236269306683938,0.654091538341969,-0.142061189533679,0.1904762,0.6716418,-0.4496358,0.06514529,-0.47867065
